URL,Price,Material,TotalArea,RoomsNumber,ApartmentFloorNumber,MaxFloorNumber,Latitude,Longitude,ApartmentAge
https://blagovist.ua/object/117484193,174987.49374687346,Кирпич,105,3,21,27,50.4346578,30.5312405,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117484195,194984.99249624813,Кирпич,81,2,10,31,50.4346578,30.5312405,спецпроект 2016-2020 гг.
https://blagovist.ua/object/420581947,70010.00500250126,Кирпич,72,3,13,14,50.493851,30.590771,спецпроект 80-х
https://blagovist.ua/object/420216159,79989.99499749875,Кирпич,75,3,1,5,50.41792,30.53565,Сталинка
https://blagovist.ua/object/419907509,141970.98549274637,Кирпич,115.1,3,7,7,50.4586626,30.4967194,спецпроект 1990-1999 гг.
https://blagovist.ua/object/83919386,41983.49174587294,Панель,55,2,6,9,50.457151,30.34071,чешский проект
https://blagovist.ua/object/50365521,172586.2931465733,Кирпич,110,2,8,17,50.432238,30.549152,спецпроект 2016-2020 гг.
https://blagovist.ua/object/117484190,91995.9979989995,Кирпич,80,3,4,9,50.3892848,30.4631881,спецпроект 2000-2005 гг.
https://blagovist.ua/object/420964687,399949.97498749377,Пеноблок,112,3,19,19,50.4211192,30.5263653,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117481912,133979.48974487244,Кирпич,44,1,4,5,50.4416112,30.5222379,Доревол.
https://blagovist.ua/object/420478930,214982.49124562283,Кирпич,73,1,10,23,50.4382415,30.5146873,спецпроект 2006-2010 гг.
https://blagovist.ua/object/33659305,130002.50125062533,Кирпич,77,2,2,25,50.3894306,30.6107766,спецпроект 2011-2015 гг.
https://blagovist.ua/object/419945872,849799.8999499751,Кирпич,645,6,20,23,50.4267606,30.5428333,спецпроект 2000-2005 гг.
https://blagovist.ua/object/50365539,99987.49374687344,Кирпич,123,4,24,25,50.4153197,30.6361309,спецпроект 2011-2015 гг.
https://blagovist.ua/object/420465607,188981.99099549776,Кирпич,82.7,2,3,18,50.459961,30.496762,спецпроект 2006-2010 гг.
https://blagovist.ua/object/201350112,159979.9899949975,Кирпич,67,3,5,9,50.4326071,30.5321646,спецпроект 70-х
https://blagovist.ua/object/419759964,68509.25462731367,Кирпич,71,3,13,16,50.4535274,30.3737218,спецпроект 1990-1999 гг.
https://blagovist.ua/object/50364205,209992.49624812408,Кирпич,88,3,2,6,50.452157,30.520706,Доревол.
https://blagovist.ua/object/109309,150000.0,Монолит,57,2,10,23,50.4017627,30.6141015,спецпроект 2011-2015 гг.
https://blagovist.ua/object/420773952,75975.48774387194,Кирпич,98,2,9,16,50.446294,30.278983,спецпроект 2006-2010 гг.
https://blagovist.ua/object/117481920,72748.87443721862,Кирпич,68,2,9,26,50.4693956,30.6102584,спецпроект 2016-2020 гг.
https://blagovist.ua/object/117481921,47236.11805902952,Кирпич,45,1,22,26,50.4693956,30.6102584,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419679348,110005.00250125064,Монолит,74.2,2,1,25,50.4364996,30.4786463,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117481922,49224.61230615308,Кирпич,46,1,5,26,50.4693956,30.6102584,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419504316,62993.99699849926,Керамзито-бетон,70,3,2,10,50.4071771,30.6300234,96 серия
https://blagovist.ua/object/285230291,152513.75687843922,Монолит,176.7,5,7,9,50.4071896,30.6396509,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575080,74587.29364682341,Кирпич,45.2,1,7,7,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575081,171760.88044022012,Кирпич,104.1,3,7,7,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/285217213,59992.496248124065,Кирпич,73,2,16,16,50.45101,30.351362,спецпроект 2006-2010 гг.
https://blagovist.ua/object/385900581,95972.98649324663,Кирпич,76,2,16,24,50.4100801,30.6263701,спецпроект 2006-2010 гг.
https://blagovist.ua/object/109312,404077.03851925966,Кирпич,150,3,5,14,50.4072071,30.5550136,спецпроект 2006-2010 гг.
https://blagovist.ua/object/96711,84979.98999499751,Панель,78,3,8,16,50.442726,30.409402,серия Т4
https://blagovist.ua/object/419693661,64982.49124562282,Кирпич,71,3,1,5,50.4614331,30.3998583,Хрущевский проект
https://blagovist.ua/object/117481931,269984.99249624816,Кирпич,137,3,8,27,50.4346578,30.5312405,спецпроект 2006-2010 гг.
https://blagovist.ua/object/419757344,85992.99649824914,Кирпич,60,2,2,12,50.4578146,30.4770319,спецпроект 1990-1999 гг.
https://blagovist.ua/object/285220845,98974.48724362181,Кирпич,105,2,12,16,50.422179,30.379595,спецпроект 2006-2010 гг.
https://blagovist.ua/object/421224457,470110.05502751376,Кирпич,120,3,12,20,50.427327,30.547265,спецпроект 2011-2015 гг.
https://blagovist.ua/object/251680864,429964.98249124567,Кирпич,200,5,30,32,50.43015,30.5927439,спецпроект 2006-2010 гг.
https://blagovist.ua/object/83898748,64982.49124562282,Керамзито-бетон,68,3,1,9,50.51746,30.490528,96 серия
https://blagovist.ua/object/419681670,99987.49374687344,Монолит,50,2,25,25,50.4650443,30.4319572,спецпроект 2011-2015 гг.
https://blagovist.ua/object/251667884,81490.74537268635,Панель,57.1,3,2,9,50.4200784,30.3883371,1-464 серия
https://blagovist.ua/object/50365519,101975.98799399701,Кирпич,57.5,1,10,17,50.432238,30.549152,спецпроект 2016-2020 гг.
https://blagovist.ua/object/420519953,219972.4862431216,Кирпич,125,3,13,16,50.4271149,30.5138483,спецпроект 2011-2015 гг.
https://blagovist.ua/object/50365517,104002.00100050026,Кирпич,57.5,1,11,17,50.432238,30.549152,спецпроект 2016-2020 гг.
https://blagovist.ua/object/50365518,101975.98799399701,Кирпич,57,1,10,17,50.432238,30.549152,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419745363,59992.496248124065,Кирпич,30,1,5,8,50.416874,30.5236025,60-70-х гг.
https://blagovist.ua/object/251680846,139982.49124562283,Кирпич,87,3,8,10,50.436853,30.53914,спецпроект 70-х
https://blagovist.ua/object/419772943,70010.00500250126,Кирпич,63,3,5,5,50.4626339,30.4796943,Хрущевский проект
https://blagovist.ua/object/419772942,134992.49624812408,Кирпич,139,4,2,28,50.402222,30.6303925,спецпроект 2006-2010 гг.
https://blagovist.ua/object/50365512,209992.49624812408,Кирпич,119,3,6,17,50.432238,30.549152,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419541363,55002.50125062532,Кирпич,45,1,2,5,50.5174209,30.4496473,Сталинка
https://blagovist.ua/object/251679876,209992.49624812408,Кирпич,98,3,7,23,50.4011176,30.5120984,спецпроект 2011-2015 гг.
https://blagovist.ua/object/419955219,84979.98999499751,Панель,55,1,20,25,50.3729225,30.4676478,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419907505,110005.00250125064,Панель,96,4,6,16,50.4560241,30.4846909,серия Т4
https://blagovist.ua/object/285237707,194984.99249624813,Кирпич,82,2,2,4,50.445523,30.52501,Доревол.
https://blagovist.ua/object/117480617,479864.93246623315,Кирпич,120,3,17,25,50.410159,30.5448809,спецпроект 2011-2015 гг.
https://blagovist.ua/object/285220835,239969.98499249626,Газоблок,86,2,31,32,50.4417539,30.4961304,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117480616,900075.0375187595,Кирпич,190,5,8,30,50.410159,30.5448809,спецпроект 2011-2015 гг.
https://blagovist.ua/object/419481136,179977.4887443722,Кирпич,104,3,5,13,50.4593446,30.5013833,спецпроект 70-х
https://blagovist.ua/object/117480615,900075.0375187595,Кирпич,190,4,7,30,50.410159,30.5448809,спецпроект 2011-2015 гг.
https://blagovist.ua/object/268436648,349974.9874937469,Кирпич,240,4,15,16,50.516716,30.512711,спецпроект 1990-1999 гг.
https://blagovist.ua/object/419886921,75000.0,Керамзито-бетон,49,2,25,25,50.3791547,30.5369658,спецпроект 2011-2015 гг.
https://blagovist.ua/object/419886920,68509.25462731367,Кирпич,58,2,3,15,50.4031873,30.5167366,спецпроект 80-х
https://blagovist.ua/object/420609965,79989.99499749875,Керамзито-бетон,107,4,11,22,50.518371,30.610863,спецпроект 2000-2005 гг.
https://blagovist.ua/object/419772910,99987.49374687344,Кирпич,55,2,4,5,50.4325687,30.5475282,Сталинка
https://blagovist.ua/object/420581987,78976.98849424713,Кирпич,61,2,6,12,50.434637,30.443375,спецпроект 2000-2005 гг.
https://blagovist.ua/object/251679844,279964.98249124567,Кирпич,120,3,6,13,50.418111,30.5204119,спецпроект 2016-2020 гг.
https://blagovist.ua/object/117480620,51250.62531265633,Кирпич,48.8,1,2,4,50.405726,30.502234,"коттедж. тип"
https://blagovist.ua/object/419539082,94997.49874937469,Керамзито-бетон,112,4,20,22,50.5227076,30.6265225,АППС-люкс
https://blagovist.ua/object/385899066,258954.47723861932,Кирпич,214.6,4,3,4,50.4382415,30.5146873,Доревол.
https://blagovist.ua/object/117481957,58979.489744872444,Кирпич,53,1,1,9,50.437767,30.535769,спецпроект 80-х
https://blagovist.ua/object/117481959,552651.3256628314,Кирпич,142.7,2,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/420194240,72973.98699349676,Керамзито-бетон,78,3,11,16,50.508003,30.613175,серия АППС
https://blagovist.ua/object/419962315,104977.4887443722,Кирпич,50,2,7,8,50.435045,30.5295584,60-70-х гг.
https://blagovist.ua/object/419680360,199974.98749374688,Кирпич,157,5,16,17,50.4633489,30.3711902,спецпроект 2000-2005 гг.
https://blagovist.ua/object/117480626,78639.31965982993,Кирпич,82.2,1,4,4,50.405726,30.502234,"коттедж. тип"
https://blagovist.ua/object/421279582,104977.4887443722,Кирпич,90,4,3,5,50.3947135,30.5073609,Хрущевский проект
https://blagovist.ua/object/117480625,79802.4012006003,Кирпич,83.4,1,4,4,50.405726,30.502234,"коттедж. тип"
https://blagovist.ua/object/83925188,569909.9549774888,Кирпич,223.6,5,4,15,50.443096,30.5159381,спецпроект 2006-2010 гг.
https://blagovist.ua/object/201356255,419834.9174587294,Кирпич,142,4,5,5,50.464549,30.5134246,реконстр.
https://blagovist.ua/object/117478314,169997.4987493747,Кирпич,52,1,3,23,50.415528,30.536326,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117481963,713981.9909954978,Кирпич,205,3,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/285237724,239969.98499249626,Кирпич,123,3,4,16,50.4928371,30.5229732,спецпроект 2000-2005 гг.
https://blagovist.ua/object/117481964,633316.6583291646,Кирпич,181,3,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/117481965,843421.7108554278,Кирпич,241,4,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/117481966,822411.2056028015,Кирпич,235,4,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/285223091,55977.98899449725,Керамзито-бетон,43,1,2,25,50.4117435,30.6163605,АППС-люкс
https://blagovist.ua/object/285237727,90007.50375187595,Керамзито-бетон,98.5,3,2,25,50.4116843,30.6161112,АППС-люкс
https://blagovist.ua/object/285223092,164969.98499249626,Кирпич,107.9,3,1,9,50.4928371,30.5229733,спецпроект 2006-2010 гг.
https://blagovist.ua/object/419811361,87006.00300150075,Газоблок,101.3,3,23,24,50.4337859,30.3720879,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117480634,76988.49424712357,Кирпич,47,2,6,9,50.4139602,30.5237827,спецпроект 70-х
https://blagovist.ua/object/117481960,520010.0050025013,Кирпич,149.2,2,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/117481961,599924.9624812406,Кирпич,179.5,3,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/419962320,55002.50125062532,Монолит,41,2,19,25,50.5012573,30.4424734,спецпроект 2011-2015 гг.
https://blagovist.ua/object/117481962,802901.4507253628,Кирпич,217,4,14,16,50.4510582,30.5165842,спецпроект 2000-2005 гг.
https://blagovist.ua/object/420676785,399949.97498749377,Кирпич,185,4,15,18,50.4382415,30.5146873,спецпроект 2000-2005 гг.
https://blagovist.ua/object/420183561,269984.99249624816,Кирпич,87,5,2,4,50.44173,30.545794,Доревол.
https://blagovist.ua/object/201356281,58979.489744872444,Керамзито-бетон,70,3,4,9,50.505462,30.44121,134 серия
https://blagovist.ua/object/419759955,104977.4887443722,Кирпич,56,2,2,3,50.45902,30.5233251,Доревол.
https://blagovist.ua/object/419733329,55977.98899449725,Кирпич,50,1,30,36,50.4313284,30.6341249,спецпроект 2006-2010 гг.
https://blagovist.ua/object/251683097,314969.98499249626,Кирпич,108,3,4,24,50.414945,30.530899,спецпроект 2011-2015 гг.
