URL,Material,TotalArea,RoomsNumber,FloorNumberCoeff,Latitude,Longitude,Distance,ApartmentAge,Price
https://blagovist.ua/object/420856747,1,92,2,0.8518518518518519,50.431922,30.634314,8104.85205694084,11,96000
https://blagovist.ua/object/117479905,1,81,2,0.43478260869565216,50.400565,30.5132359,5578.6695263504635,6,188000
https://blagovist.ua/object/419829056,1,70,2,0.12,50.416821,30.6336271,8637.02254377542,6,70000
https://blagovist.ua/object/117482025,1,70,1,0.64,50.4276025,30.5299185,2555.866598051911,6,275000
https://blagovist.ua/object/83927916,2,86.2,3,0.3125,50.4623161,30.3472591,12616.097262277057,26,79000
https://blagovist.ua/object/67144670,1,190,5,0.3333333333333333,50.4536783,30.5249601,388.86074698626356,25,460000
https://blagovist.ua/object/419834487,1,67,2,1.0,50.430762,30.4859635,3457.0953353985633,11,145000
https://blagovist.ua/object/117484307,1,165,4,0.6428571428571429,50.419243,30.5296743,3473.991649923495,6,240000
https://blagovist.ua/object/285235268,1,69,2,0.6666666666666666,50.407541,30.556827,5296.421686790718,110,215000
https://blagovist.ua/object/419794269,1,65,3,0.14285714285714285,50.4387145,30.5467337,2069.607266253986,44,95000
https://blagovist.ua/object/184570188,3,182.2,4,0.48,50.4296794,30.5139638,2394.3503815076688,6,270000
https://blagovist.ua/object/419967827,1,45,1,0.75,50.3932605,30.6150319,9061.669105673229,11,64500
https://blagovist.ua/object/419975612,1,55,2,0.5,50.4441912,30.5418172,1441.739433223164,81,148000
https://blagovist.ua/object/285241310,7,60,2,0.4230769230769231,50.4060956,30.552806,5324.519115703198,1,91000
https://blagovist.ua/object/50365953,1,75.6,2,0.8947368421052632,50.421955,30.5285288,3165.1062435530785,1,125000
https://blagovist.ua/object/33658357,10,85,2,0.6428571428571429,50.4204542,30.5284065,3330.339350137729,1,305000
https://blagovist.ua/object/83927159,7,41,1,0.42857142857142855,50.4472938,30.4229356,7176.981317426256,1,60000
https://blagovist.ua/object/201361037,1,535,7,0.9473684210526315,50.4170291,30.5244935,3696.023984639892,16,849000
https://blagovist.ua/object/285236139,1,274,6,0.9375,50.4510787,30.5074115,1172.9653273735253,11,560000
https://blagovist.ua/object/285228347,1,103.2,3,0.32,50.4183369,30.4903151,4276.253549131612,16,121000
https://blagovist.ua/object/117483141,1,59,1,0.23076923076923078,50.513599,30.500302,7242.989512354391,1,192000
https://blagovist.ua/object/419610436,1,59,3,0.2222222222222222,50.4947307,30.4602545,6700.808125890106,54,69000
https://blagovist.ua/object/419966026,4,65,2,0.5416666666666666,50.3796871,30.4688436,8769.066250666396,22,56200
https://blagovist.ua/object/352321639,1,100,2,0.5,50.4504257,30.4943588,2096.539202627712,11,199000
https://blagovist.ua/object/167799257,1,74.2,2,0.4,50.4791218,30.6699338,10859.85677693752,1,63000
https://blagovist.ua/object/285229305,7,98.3,3,0.68,50.4060956,30.552806,5324.519115703198,1,122000
https://blagovist.ua/object/420225347,1,103,4,0.1,50.4245,30.650719,9453.837541710842,25,70000
https://blagovist.ua/object/83928243,1,75,2,0.25,50.3755649,30.5417589,8404.841419065544,11,92000
https://blagovist.ua/object/201361932,1,74,2,0.8148148148148148,50.4242183,30.5417788,3162.921624180143,6,220000
https://blagovist.ua/object/285237253,1,83,3,0.7352941176470589,50.4475824,30.4869074,2642.4419884251174,1,118000
https://blagovist.ua/object/419970672,2,91,3,0.18181818181818182,50.416548,30.6359948,8801.99694928073,22,94000
https://blagovist.ua/object/117481856,1,111,3,0.7,50.4558211,30.4521936,5128.87506754123,6,220000
https://blagovist.ua/object/419948920,2,74,3,0.6363636363636364,50.5170237,30.5971984,9071.639079427725,26,59500
https://blagovist.ua/object/251684869,4,46,2,0.4444444444444444,50.42674,30.639585,8624.69612445533,54,36000
https://blagovist.ua/object/83925665,1,40,1,1.0,50.387848,30.490169,7343.128917531512,16,55000
https://blagovist.ua/object/285224255,1,78,2,0.5,50.4395167,30.5024604,1933.8124229225243,81,125000
https://blagovist.ua/object/201352855,1,170.4,4,0.4,50.421274,30.557565,4014.6340474592,6,477000
https://blagovist.ua/object/419769927,3,75,2,0.45,50.5281297,30.6083491,10538.069249479528,16,85000
https://blagovist.ua/object/184573200,1,66,1,0.3333333333333333,50.408262,30.461057,6459.565356028141,16,98000
https://blagovist.ua/object/117480209,6,126,4,0.64,50.4209559,30.5257379,3261.625041030602,6,235000
https://blagovist.ua/object/419889921,1,68,2,0.1111111111111111,50.4441912,30.5418172,1441.739433223164,34,155000
https://blagovist.ua/object/419998836,1,60,3,0.8333333333333334,50.3402379,30.4765738,12690.905660296754,1,60000
